route_id,route_short_name,route_long_name,route_type,route_color,route_text_color,route_url
16305,1,Parx Casino to 54th-City,3,,,
16306,10,13th-Market to 63rd-Malvern,0,66CC33,000000,
16184,101,Media to 69th St TC,0,66CC33,000000,
16186,102,Sharon Hill to 69th St TC,0,66CC33,000000,
16187,103,Ardmore to 69th St TC,3,,,
16188,104,West Chester U to 69th St TC,3,,,
16189,105,Rosemont to 69th St TC,3,,,
16190,106,Paoli to 69th St TC,3,,,
16191,107,Lawrence Park to 69th St TC-107,3,,,
16192,108,UPS or Airport to 69th St TC,3,,,
16193,109,Chester TC to 69th St TC,3,,,
16307,11,13th-Market to Darby Trans Cntr,0,66CC33,000000,
16194,110,Penn State U to 69th St TC,3,,,
16195,111,Chadds Ford to 69th St TC,3,,,
16196,112,DCCC to 69th St TC,3,,,
16197,113,Tri State Mall to 69th St TC,3,,,
16198,114,Granite Run Mall to Darby TC,3,,,
16199,115,DCCC & Darby TC to Airport,3,,,
16200,117,Penn State U to I-95 Industrial Pk,3,,,
16201,118,Newtown Square to Chester TC,3,,,
16202,119,Cheyney U to Chester TC,3,,,
16308,12,Columbus-Dock to 50th-Woodland,3,,,
16203,120,Cheyney U to 69th St TC,3,,,
16204,123,King of Prussia to 69th St TC,3,,,
16240,124,Chesterbrook to 13th & Market   ,3,,,
16205,125,Valley Forge to 13th-Market,3,,,
16206,126,Lawrence Park to 69th St TC-126,3,,,
16241,127,Trenton TC to Oxford Valley Mall,3,,,
16242,128,Neshaminy to Oxford Valley Mall,3,,,
16243,129,Frankford-Knights to Oxford Valley,3,,,
16309,13,13th-Market to Yeadon-Darby,0,66CC33,000000,
16244,130,BCCC to Frankford & Knights,3,,,
16245,131,Audubon to Norristown TC,3,,,
16246,132,Telford to Montgomery Mall,3,,,
16247,133,Frankford & Knights to Bensalem,3,,,
16248,139,Limerick to King of Prussia,3,,,
16310,14,FTC to Neshaminy/Oxford Vally Malls,3,,,
16311,15,63rd-Girard to Richmond-Westmorelnd,0,66CC33,000000,
16249,150,Parx Casino to Plymouth Meeting,3,,,
16312,15B,Frankfrd-Girard to Rchmnd-Westmrlnd,3,66CC33,000000,
16313,16,City Hall to Cheltenham-Ogontz,3,,,
16314,17,Front-Mkt to 20-Johnston/Broad-Pat,3,,,
16315,18,Fox Chase to Cedarbrook Plaza,3,,,
